ticker,field,value,unit,period,asOf,sourceLabel,sourceType,sourceUrl,sourceDocumentTitle,sourceLineItem,rawValue,rawUnit,conversionFormula,dataMode,productionApproved,reviewStatus,notes
FPT,cashAndEquivalents,9315.440438884,billion_vnd,2024,2024-12-31,phase116_reviewed_financial_missing_fields,official_annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2025/april/20250402---fpt---annual-report-2024.pdf,FPT Annual Report 2024,Cash and cash equivalents,"9,315,440,438,884",vnd,raw_vnd / 1000000000,research_only,false,reviewed_candidate,"Cash and cash equivalents from consolidated balance sheet"
FPT,capitalExpenditure,-3275.312325702,billion_vnd,2024,2024-12-31,phase116_reviewed_financial_missing_fields,official_annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2025/april/20250402---fpt---annual-report-2024.pdf,FPT Annual Report 2024,Purchases of fixed assets and other long-term assets,"(3,275,312,325,702)",vnd,raw_vnd / 1000000000,research_only,false,reviewed_candidate,"Reported cash outflow sign is preserved"
MWG,cashAndEquivalents,4897.331540730,billion_vnd,2024,2024-12-31,phase116_reviewed_financial_missing_fields,official_annual_report,https://cdnv2.tgdd.vn/mwgvn/investorrelations/files/posts/2025/4/3099/bd/b4/bdb4909af7f69858abb538dac47b2e76.pdf,MWG Annual Report 2024,Cash and cash equivalents,"4,897,331,540,730",vnd,raw_vnd / 1000000000,research_only,false,reviewed_candidate,"Cash and cash equivalents from consolidated balance sheet"
MWG,capitalExpenditure,-303.747827395,billion_vnd,2024,2024-12-31,phase116_reviewed_financial_missing_fields,official_annual_report,https://cdnv2.tgdd.vn/mwgvn/investorrelations/files/posts/2025/4/3099/bd/b4/bdb4909af7f69858abb538dac47b2e76.pdf,MWG Annual Report 2024,Purchase and construction of fixed assets,"(303,747,827,395)",vnd,raw_vnd / 1000000000,research_only,false,reviewed_candidate,"Reported cash outflow sign is preserved"
VNM,cashAndEquivalents,2225.944,billion_vnd,2024,2024-12-31,phase116_reviewed_financial_missing_fields,official_annual_report,https://static2.vietstock.vn/vietstock/2025/3/21/20250321_vnm_250321_annual_report_2024.pdf,VNM Annual Report 2024,Cash and cash equivalents,"2,225,944",million_vnd,raw_million_vnd / 1000,research_only,false,reviewed_candidate,"Cash and cash equivalents from consolidated balance sheet"
VNM,capitalExpenditure,-1741.502,billion_vnd,2024,2024-12-31,phase116_reviewed_financial_missing_fields,official_annual_report,https://static2.vietstock.vn/vietstock/2025/3/21/20250321_vnm_250321_annual_report_2024.pdf,VNM Annual Report 2024,"Purchases of property, plant and equipment, intangible assets and biological assets","(1,741,502)",million_vnd,raw_million_vnd / 1000,research_only,false,reviewed_candidate,"Reported cash outflow sign is preserved"
